Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“Super_Like”_0053/The_Endless_Honeymoon_Podcast_“Super_Like”_0053.wav,The_Endless_Honeymoon_Podcast_“Super_Like”_0053,"I always felt like I was my own thing. I never felt an attraction to it. It always felt off, wrong, like I'm looking at the clock, when's this going to end when I was in Catholic school. Like it it I was never, you know, like that kid said that they became the best Jehovah's Witness on the other podcast. <turn>Right. Deep, deep, deeply religious. <turn>Yeah. <turn>No one's talking about that. Right? I mean, no, obviously we're not, that's not us. I mean, my dad was deeply religious, and I somehow got through","Always felt like I was my own thing. I never felt an attraction to it. It always felt off, wrong, like I'm looking at the clock, when's this gonna' end when I was in Catholic school. Like, it, it I was never, you know, like that kid said that they became the best Jehovah's Witness on the other podcast. <turn>Right. Deep, deep, deeply religious. <turn>Yeah. <turn>No one's talking about that. Right? I mean, no, obviously we're not, that's not us. I, I mean, my dad was deeply religious and I somehow got through."
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“Munchausen_By_Dick”_0009/The_Endless_Honeymoon_Podcast_“Munchausen_By_Dick”_0009.wav,The_Endless_Honeymoon_Podcast_“Munchausen_By_Dick”_0009,"bad mood. [laugh] That is funny. I was like, Hey, you know, you've been I I get you've been stressed out the last couple weeks. I'm like, wait a minute. What's the what's the timeline on this? <turn>I think I'm getting like more sad because the iPhone update has like all these old pictures that they're barraging you with. <turn>You made such a good point about that. <turn>So, now all of a sudden, like, I'm like, oh, I'm like I'm like missing things I forgot about. <turn>No, you said the other day when we're talking about that iPhone update where all of a sudden, it's popping all off Facebook, actually. It's <turn>I'm not on Facebook. <turn>But that's a technique that they","A mood. <turn> [laugh] That is funny. I was like, yeah you, you know, you've been I, I get you've been stressed out the last couple weeks, like <turn> [laugh] <turn> wait a minute. What's the, what's the timeline on this? Erm... <turn>I think I'm getting like more sad because the iPhone update has like all these old pictures that they're barraging you with. <turn>You made such a good point about that. <turn>So, now all of a sudden, like, I'm like, oh, I'm like, I'm like missing things I forgot about. <turn>No, you said the other day we're talking about that iPhone update where all of a sudden, it's popping a la Facebook, actually. It's <turn>I'm not on Facebook. <turn>But that's a technique that they..."
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“Ozempic_Nuts”_0018/The_Endless_Honeymoon_Podcast_“Ozempic_Nuts”_0018.wav,The_Endless_Honeymoon_Podcast_“Ozempic_Nuts”_0018,"and I don't really want to do that. <turn>Right, why don't you get one of those gray phones where you can just text? I go, why don't I buy you one of those phones where you can just text and make phone calls? She's like, Ooh, but I like Ooh, but I like music. <turn>I want to be I want to be able to do Sonos. <turn>Ooh, but I like I like Sonos. What if they made a phone that was just Sonos texting and Sonos is the worst product. <turn>Okay. Well, I like it. So I want to be able to play music from my phone. <turn>It's the worst product. It's like Natasha likes Sonos because it's technologically challenging. If it if it's more streamlined, like my my girl Alexa, I came home the other <turn>No, it's not.","And I don't really want to do that. <turn>Right, why don't you get one of those gray phones where you can just text? I go, oh why don't I buy you one of those phones where you can just text and make phone calls? She's like, ooh but I like, ooh but I like music <turn> I wanna be <turn> oh but I like <turn>I wanna to be able to do Sonos. <turn>Ooh, but I like, I like Sonos. What if they made a phone that was just Sonos texting and... Sonos is the worst product. <turn>Okay,  well, I like it,  so I want to be able <turn>it's the worst product <turn>to play music from my phone. <turn>It's the worst product. It's like Natasha likes Sonos because it's technologically challenging. If it <turn>no it's not <turn> if it's more streamlined, like my, my girl Alexa, I came home the"
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0081/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0081.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0081,"Don't I I wouldn't pressure someone into doing something they don't want to do. But I would say, when's your birthday?  <turn>In March. <turn>March. I would say, honey, my birthday is March blah blah blah. And as you know, um I this is my biggest sexual fantasy. I know it's not your favorite thing and I'm prob and I'm going to not mention it again. But on my birthday, it would be really nice if we could do that. And then see what happens.  <turn>I think not even setting that that date or whatever. I think she knows how much you like it already.","Don't I I wouldn't pressure someone into doing something they don't wanna do. But, I would say, when's your birthday?  <turn>In March. <turn>March. I would say, honey, my birthday is March blah blah blah, and as you know, um, I, this is my biggest sexual fantasy. I know it's not your favorite thing and I'm prob and I'm gonna not mention it again. But on my birthday, it would be really nice if we could do that <turn>I <turn>and then see what happens.  <turn>I think not even setting that, that date or whatever. I think, she knows how much you like it"
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“Stand_Up_Covidian”_with_Aisling_Bea_0008/The_Endless_Honeymoon_Podcast_“Stand_Up_Covidian”_with_Aisling_Bea_0008.wav,The_Endless_Honeymoon_Podcast_“Stand_Up_Covidian”_with_Aisling_Bea_0008,"Myers when since the Korean War, doctors were wearing masks in the theater of operation. <turn>And then remember someone came in without a mask and he's like, ""Get the hell out of here. I do not want to be responsible for you infecting this open this person."" <turn>And then he was like, uh, COVID. He said COVID and it was really forward thinking. Anyway, neither here nor there. In the middle of MASH, Natasha's dribbling asleep, as she always does when we watch a movie. I I rub the back of my head and I feel a little bump. And I'm like, ""What the heck? What's this bump?"" And I","Deniers when since the<turn> [laugh] <turn> Korean War, doctors were wearing masks in the theater of operation. <turn>And then remember someone came in without a mask and he's like, ""Get the hell out of here. I do not want to be responsible for you infecting this open this person"", so <turn>And then he was like, uh, COVID. He said COVID and it was really forward thinking. Anyway, neither here nor there. In the middle of M*A*S*H, Natasha's dribbling asleep, as she always does when we watch a movie. I, I rub the back of my head and I feel a little bump and I'm like, ""What the heck? What's this bump?"" And I"
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“Future_Tripping”_0009/The_Endless_Honeymoon_Podcast_“Future_Tripping”_0009.wav,The_Endless_Honeymoon_Podcast_“Future_Tripping”_0009,"This is very public. <turn>What what do you mean? That we sometimes do work on our relationship? <turn>No. Yeah. <turn>I mean, I would hope that everyone in this whole listening field does similar work. Now, this is not a negative um thought that I had about you, but it was funny today. Yes. Natasha came home all full of vim and vigor, piss and vinegar. Real high on this new","This is very public. <turn>What, what do you mean? That we sometimes do work on our relationship? <turn>No. Yeah. <turn>I mean, I would hope that everyone in this whole listening field does similar work. Now, this is not a negative um thought that I had about you, but it was funny today. <turn>Yes. <turn>Natasha came home all full of vim and vigor, piss and vinegar. Real high on this new"
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“Degeneration_of_everything”_0061/The_Endless_Honeymoon_Podcast_“Degeneration_of_everything”_0061.wav,The_Endless_Honeymoon_Podcast_“Degeneration_of_everything”_0061,"a little more freedom, I guess. [laugh] <turn>Well, I will tell you that hearing Moshe talk about that because I kind of forgot about it a little bit. It was definitely worth it to have a kid, and I'm so happy I did. <turn>Yeah, I mean, <turn>So, you know, you got to think like, I don't know, you know, yeah, maybe your pussy's not as wet as you'd love it to be, but [laugh] you know, get over it. [laugh] <turn>That's probably the way you talk, right? [laugh] No. And, and, and you know what? Actually, you can, you did help us because I, this is what I was trying to say to Natasha earlier when she was","a little more freedom, I guess. [laugh] <turn>Well, I will tell you that hearing Moshe talk about that 'cause I kind of forgot about it a little bit. It was definitely worth it to have a kid, and I'm so happy I did. <turn>Yeah, I mean, <turn>So, you know, you got to think like, I don't know, you know, yeah, maybe your pussy's not as wet as you'd love it to be, but <turn>[laugh] <turn> you know, get over it. <turn>[laugh] <turn>That's probably the way you talk, right? <turn>[laugh] No. And, and, and you know what? Actually, you can, you did help us because I, this is what I was trying to say to Natasha earlier when she was"
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_Secret_Dump_135__Chianti_Vomit_0026/The_Endless_Honeymoon_Podcast_Secret_Dump_135__Chianti_Vomit_0026.wav,The_Endless_Honeymoon_Podcast_Secret_Dump_135__Chianti_Vomit_0026,"Twelve dollars? Twenty twelve to twenty dollars to get your nail the the nails done by a professional. She's not buffing them either, so she doesn't even need to pay for the buff. You know how much you would have to pay me to jerk a dog off? What's your what's your how much? <turn>I would do it for <turn>Real. Answer real. <turn>I'd say ten K would be respectable. <turn>You Oh, but nobody would know, you're saying like privately? <turn>Yeah. Yeah. <turn>I wouldn't do it for ten thousand dollars. <turn>No?","[laugh] <turn>Twelve dollars? Twenty, twelve to twenty dollars to get your nail, the the nails done by a professional. <turn>She's not buffing 'em either, so she doesn't even need to pay for the buff.<turn> Do you know how much you would have to pay me to jerk a dog off? I'm...What's your, what's your, how much? <turn>I would do it for <turn>Real. Answer real. <turn>I'd say ten K would be respectable. <turn>You.. Oh, but nobody would know, you're saying <turn>Yeah. <turn>like privately? <turn>Yeah. <turn>I wouldn't do it for ten thousand dollars. <turn>No?"
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_“A_Boy_Named_Sasha”_0083/The_Endless_Honeymoon_Podcast_“A_Boy_Named_Sasha”_0083.wav,The_Endless_Honeymoon_Podcast_“A_Boy_Named_Sasha”_0083,"So, I mean, this is very simple to solve, actually. I mean, but but it's not simple to understand because you keep saying these different reasons why you don't like this stuff. What's the what's really 'cause like, okay, here's what I really thought. You said it's not our vibe. It's clearly more his vibe than it is your vibe, or he wouldn't be saying, ""This is my wife."" <turn>It might be his way of testing the waters to see if you're down. <turn>Yeah, it feels to me like you're saying, ""This isn't our vibe, honey,"" and he's kind of trying","So, I mean, this is very simple to solve, actually. I mean, but but it's not simple to understand 'cause you keep saying these different reasons why you don't like this stuff. What's the what's really 'cause like, okay, here's what I really thought. You said it's not our vibe. It's clearly more his vibe than it is your vibe, or he wouldn't be saying, ""This is my wife."" <turn>It might be his way of testing the waters to see if you're down. <turn>Yeah, it feels to me like you're saying, ""This isn't our vibe, honey,"" and he's kind of trying"
https://samples.caledon.ai/resemble/The_Endless_Honeymoon_Podcast_A_real_90_Day_Fiancé_0040/The_Endless_Honeymoon_Podcast_A_real_90_Day_Fiancé_0040.wav,The_Endless_Honeymoon_Podcast_A_real_90_Day_Fiancé_0040,"on to an app I mean, you have to be engaged in in a profound psychological cognitive dissonance to think that a young woman who is in is in an underdeveloped or you know, country, uh, who probably doesn't come from a great wealth. I'm just guessing here. I know there are rich people in the Philippines, but I'm going to assume she's not one of them. You have to be engaged in some profound psychological, you know, dissonance to think, ""Oh, wow, she really likes me special."" and to not no","go on to an app I mean, you have to be engaged in a in a profound psychological cognitive dissonance to think that a young woman who is in is in an underdeveloped or or, country, uh, who probably doesn't come from a great wealth. I'm just guessing here. I know there are <turn> Right. <turn> rich people in the Philippines, but I'm going to assume she's not one of them. You have to be engaged in some profound psychological, you know, dissonance to think, ""Oh, wow, she really likes me special."" and to not"
