Company Name,Question,Question Korean Translated,Answer in Korean,Question Type,Evidence Page Number
Samsung,"What was Samsung’s total revenue and operating profit for Q4 2023, and how do these compare to the previous quarter and the same quarter last year?",삼성전자의 2023년 4분기 총매출과 영업이익은 얼마였으며 이는 전분기와 전년 동기 대비 어떻게 비교되나요?,"2023년 4분기 삼성전자의 총매출은 258조 9,355억원으로 전년 동기 대비 14.3% 감소하였으며, 영업이익은 6조 6,670억원으로 전년 동기 대비 84.9% 감소하였습니다. 23Q4 대비 23Q3 의 자료는 첨부 파일에 나타나 있지 않습니다.",Information Extraction,"26, 35, 79, 298
"
Samsung,"Which business segment (e.g., Semiconductor, Mobile, Display, Consumer Electronics) contributed the most to revenue in Q4 2023, and how did it perform compared to previous quarters?","2023년 4분기 삼성전자 매출에 가장 크게 기여한 사업 부문 (예: 반도체, 모바일, 디스플레이, 가전) 은 어느 부문이었으며, 이는 이전 분기들과 비교했을 때 성과는 어떠한가요?","삼성전자 내 2023년 4분기 가장 큰 매출을 기록한 사업 부문은 DX (Device eXperience) 부문으로, 이 부문은 스마트푼, TV, 가전 등을 포함하며, 169조 9,923억원을 기록하여 전체 매출의 65.7%를 차지하였습니다. 하지만 이는 전년 동기 대비 6.8% 감소한 수치이고 22Q4와 비교하면 2.2% 소폭 증가한 수치입니다.",Information Extraction,"35, 299"
Samsung,"How did Samsung’s gross profit margin and operating margin change in Q4 2023, and what were the key factors affecting these changes?","2023년 4분기 삼성전자의 매출총이익과 영업이익은 어떻게 변화하였으며, 이러한 변화에 영향을 미친 주요 요인은 무엇인가요?","2023년 4분기 삼성전자의 매출총이익은 78조 5,469억원으로 전년 동기 대비 30.0% 감소 (-33조 6,427억원), 영업이익은 6조 5,670억원으로 전년 동기 대비 36조 8,097억원 감소 (-84.9%) 하였습니다. 가장 큰 요인은 DS 부문의 DRAM 및 NAND flash 가격 하락과 수요 둔화로 인해 매출이 전년 대비 31조 8,608억원 감소 (-32.4%) 하고, 영업이익이 -14조 8,795억원으로 적자 전환 되면서 전체 실적에 영향을 끼쳤습니다.",Numerical Reasoning,"79, 298, 299, 300, 301, 300"
Samsung,"How did the semiconductor division perform in Q4 2023, and what external factors (e.g., global chip demand, pricing trends, competition) influenced its performance?","2023년 4분기에 삼성전자의 반도체 부문의 실적은 어떠하였으며, 어떤 외부 요인 (글로벌 반도체 수요, 가격 동향, 경쟁 등) 들이 그 실적에 영향을 미쳤나요?","2023년 4분기 삼성전자의 반도체 (DS) 부문 매출은 66조 5,945억원으로 전년 대비 31조 8,608억원 (32.4%0 감소하였으며 영업이익은 -14조 8,795억원 적자를 기록하였습니다. 주요 외부 요인은 반도체 가격 하락과 고객사 재고 조정으로 인한 수요 감소가 주요 원인입니다. DRAM 시장에서는 고부가 가치 제품 확대와 고용량 제품 중심의 포트폴리오 운영을 통해 가격 경쟁력 확보를 추진했지만 전반적인 수요 둔화 및 PC/모바일 시장 위축으로 인해 실적이 악화되었습니다. NAND 와 파운드리 부문에서도 투자를 지속하고 있으나 시장 상확 악화 및 경쟁 심화로 수요 감소가 발생되었습니다.",Logical Reasoning,"298, 299, 300, 301,302"
Samsung,What were the key drivers of growth or decline in Samsung’s Mobile (MX) and Consumer Electronics (CE) divisions in Q4 2023?,2023년 4분기 삼성전자의 모바일(MX) 및 가전(CE) 부문의 성장 혹은 감소의 주요 원인은 무엇인가요?,"삼성전자의 MX 부문은 지정학적 이슈의 장기화, 인플레이션 및 경기 침체에도 불구하고 플래그십 스마트폰 판매가 성장하면서 매출이 증가했습니다. 반면 CE 부문은 Neo QLED, OLED 등의 프리미엄 제품군 강화와 AI 및 에너지 절감 기술을 적용한 라인업 확장 등을 통해 점유율을 유지하려 하였지만, 글로벌 경기 불확실성으로 인해 소비 심리가 위축되며 TV 및 가전제품 수요가 감소하였습니다. ",Logical Reasoning,"298, 299, 300, 301, 302"
Samsung,"What major risk factors did Samsung highlight in Q4 2023 that could impact future earnings, and how is the company mitigating them?        ","삼성전자가 2023년 4분기 강조한 미래 수익에 영향을 미칠 주요 위험 요인은 무엇이며, 당사는 어떻게 이들을 완화하고 있나요?","삼성전자가 강조한 주요 위험 요인은 환율 변동, 이자율 상승, 지정학적 리스크, 반도체 시장 침체 등이었습니다. 특히 미국 달러와 유로화 대비 원화 환율 변동이 실적에 영향을 미칠 수 있으며 이에 대응하여 환포지션을 최소화 하고 선물환 및 채권매각 전략을 활용하고 있습니다. 
또한 반도체 시장 침체 및 수요 약세는 실적 악화 가능성으로 이어질수 있으며, 이를 위해 첨단 공정 기술 개발 강화, 생산 능력 확충, 차세대 기술 도입을 추진하고 있습니다.",Information Extraction,"5, 41, 302, 307"
Samsung,"How much did Samsung invest in R&D and capital expenditures in Q4 2023, and which business areas received the most investment?","삼성전자는 2023년 4분기에 R&D 및 자본적 지출 (CAPEX) 에 얼마나 투자했으며, 어느 사업 부문이 가장 많은 투자를 받았나요?","삼성전자의 23Q4 총 연구개발 비용은 28조 3,528억원, CAPEX 는 54조 9,163억원을 투자하였습니다. 연구개발 비용 및 CAPEX 의 정확한 부문별 지출은 보이지 않지만 시설투자 현황 부분을 보면 총 53.1조 투자 중 48.4조를 건물/설비의 신 증설, 보완으로 쓰였다고 보입니다.",Numerical Reasoning,"34, 49, 116"
Samsung,"What actions did Samsung take regarding dividends or share buybacks in Q4 2023, and how does its debt-to-equity ratio compare to previous quarters?        ","삼성전자는 2023년 4분기에 배당금 지급 및 자사주 매입에 대해 어떤 조치를 취했으며, 부채비율은 이전 분기들과 비교해 어떻게 변화했나요?","삼성전자의 23Q4 총 배당금 규모는 2조 4,529억원이었고, 이는 보통주 주당 361원, 우선주 주당 362원의 배당금을 지급한 금액입니다. 자사주 매입에 대해서는 구체적인 정보가 명시되어 있지 않습니다. 부채비율은 23년 말 기준 25.4%로 전년 26.4%에 비해 소폭 감소하였습니다. ",Numerical Reasoning,"46, 136, 262, 263, 296"
Samsung,"Which business areas received the highest R&D investment in Q4 2023, and how does this compare to previous quarters?        ",삼성전자가 가장 많은 연구개발 (R&D) 투자를 한 사업 부문은 어디이며 이전 분기들과 비교하면 어떻게 변화하였나요?,"삼성전자는 2023년 총 28조 3,528억원을 연구개발 비용으로 사용하였으며 이는 전년 대비 약 13.7% 증가, 그 이전년도 대비 약 25.5% 증가한 비용입니다. 해당 사업 보고서에서는 부문별 연구개발 비용이 명시되어 있지 않습니다.",Information Extraction,49
Samsung,"What were the key risks and opportunities highlighted by Samsung for 2024, and how is the company planning to navigate them?",삼성이 2024년 강조한 주요 리스크와 기회 요인은 무엇이며 회사는 이를 점검하기 위해 어떤 계획을 가지고 있습니까?,"삼성전자는 2024년 경기회복에 따른 소비 심리 상승과 폴더블폰 수요 증가등으로 예상되는 스마트폰 시장 성장을 기회 삼아 프리미엄 제품 라인업을 확대할 방침이고, HBM, DDR5/LPDDR5x 등 선단 제품의 수요는 지속해서 견고할 것으로 전망하여 선단 제품 수요 대응에 주력하는 가운데 Gen AI 향 HBM 및 서버향 SSD 수요에도 적극 대응하여 수익성 개선에 집중할 계획입니다. 또한 차세대 기술 경쟁력 강화 및 중장기 수요 대비를 위한 투자도 지속 점검하여, 투자 효율 성 제고도 높힌다는 계획을 가지고 있습니다. ",Logical Reasoning,"34, 59, 65"
