Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Secret_Dump_4_0011.wav,The_Endless_Honeymoon_Podcast_Secret_Dump_4_0011,"that you had tracked dog shit <turn>I didn't realize that then. <turn>over all of the carpets in the house. <turn>No. I didn't realize that then. I didn't even think about my my path. I just was like, ""Oh, that's where the shit was."" And so I took my sandals off and I was I washed them, and then I went back to work. And then I came down, and you found out what had happened, because I cleaned up the shit as well. <turn>Right. I smelled what had happened. <turn>You had smelled what had happened.","That you had tracked dog shit <turn>I didn't realize that then. <turn> over all of the carpets in the house. <turn>No. I didn't realize that then. I didn't even think about my my path. I just was like, ""Oh, that's where the shit was."" And so I took my sandals off and I was I washed them, and then I went back to work. And then I came down, and you found out what had happened, because I cleaned up the shit as well. <turn>Right. I smelled what had happened. <turn>You had smelled what had happened."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Secret_Dump_4_0014.wav,The_Endless_Honeymoon_Podcast_Secret_Dump_4_0014,"You had you had shoes on so you didn't feel it. <turn>Okay, first of all, that's the worst argument for why you should go barefoot I've ever heard. [laugh] Go barefoot because when you step in a raw pile of dog shit, you'll be able to feel it on the in on the sole of your foot. But what I was saying was that the conversation was about stepping in the shit, and you jumped to a conversation we had had six months ago about whether or not we were a shoes off house, which we never agreed on. And she just started screaming.","You had you had shoes on so you didn't feel it. <turn>Okay, first of all, that's the worst argument for why you should go barefoot I've ever heard. <turn>[laugh] <turn>Go barefoot because when you step in a raw pile of dog shit, you'll be able to feel it on the in on the sole of your foot. But what I was saying was that the conversation was about stepping in the shit, and you jumped to a conversation we had had six months ago about whether or not we were a shoes-off house <turn>[laugh] <turn> which we never agreed on. And she just started screaming."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Secret_Dump_82__Thicc_Alert_0008.wav,The_Endless_Honeymoon_Podcast_Secret_Dump_82__Thicc_Alert_0008,"Please go with her now. No, I'm just kidding. <turn>I get I get that you're doing like a moral relativism thing. I'm just saying, like, is it an inherently, this is, I think, the question, is it an inherently disrespectful act to stare at another woman or man in a, you know, like, ""Wow, that person's hot"" kind of way? <turn>I I don't <turn>when you're with your partner. <turn>Yeah. I mean, yeah. I think I think","Please go with her now. No, I'm just kidding. <turn>I get I get that you're doing like a more relativism thing. I'm just saying, like, is it an inherently this is, I think, the question: Is it an inherently disrespectful act to stare at another woman or man in a you know, like, ""Wow, that person's hot"" kind of way <turn>I I don't <turn> when you're with your partner? Like <turn>Yeah. I mean, yeah. I think I think"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0018.wav,The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0018,"it'll have a little fiery bulb. <turn>I think he could handle it. <turn>So then I think I could do that. Actually, that's the next step is fiery hula hoop. God, I gotta have some high value treats to get him to jump through fire. <turn>You gotta put like a full Von's chicken in there. <turn>Yeah, hell yeah, a T-bone steak on the other end. That's what the course will be. It'll be a flaming hula hoop with a suspended T-bone steak. And we'll see if he'll jump through. Uh today's a written in episode. No guests today, just a few secrets and a few letters. P","It'll have a little fiery bulb. <turn>I think he could handle it. <turn>So then I think I could do that. Actually, that's the next step, is fiery hula hoop. God, I gotta have some high-value treats to get him to jump through fire. <turn>You gotta put like a full Vons Chicken in there. <turn>Yeah. Hell yeah. A T-bone steak on the other end. That's what the course will be. It'll be a flaming hula hoop with a suspended T-bone steak. And we'll see if he'll jump through. Uh, today's a written-in episode. No guests today, just a few secrets and a few letters."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0023.wav,The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0023,"So here's the answer. Do not allow your girlfriend's ex to stay in your house with you. <turn>I, uh, what happens if he wants to visit? We're in a major city and he has a family a couple of hours outside, so it makes sense that he flies in and crashes at ours at some point. My initial instinct is, I don't want to be welcoming to an ex in our home. My girlfriend is completely understanding and okay with whatever I decide I'm comfortable with.","So here's the answer. Do not allow your girlfriend's ex to stay in your house with you. I what happens if he wants to visit? We're in a major city, and he has a family a couple of hours outside, so it makes sense that he flies in and crashes at at ours at some point. My initial instinct is, I don't want to be welcoming to an ex in our home. My girlfriend is completely understanding and okay with whatever I decide I'm comfortable with."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0026.wav,The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0026,"three hundred a night probably. <turn>Yeah. <turn>They can't he can't afford it. <turn>Let me think about whether I'm just being reactive here. Like my ex, I'm dating someone and her ex is coming to town and she wants him to crash. <turn>Yeah, okay, I take it I take it back. <turn>Oh. <turn>I take it back. It's like is it a big deal? I'm trying to think like <turn>I think it totally has to do with the vibe. Yeah. If it seems like they still like each other and she's","three hundred a night probably. <turn>Yeah. <turn>They can't he can't afford it. <turn>Let me think about whether I'm just being reactive here. Like my ex, I'm dating someone and her ex is coming to town and she wants him to crash. Yeah, okay, I take it I take it back. <turn>Oh. <turn>I take it back. It's like, is it a big deal? I'm trying to think like <turn>I think it totally has to do with the vibe. <turn>Yeah. <turn>If it seems like they still like each other and she's"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0028.wav,The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0028,"See? And then you just look like an idiot. <turn>No, but here's the thing. Uh, the worst that can happen is that you walk into your broom closet and your ex is your your girlfriend's ex is fucking railing her and she's saying this is so much better and bigger than I ever got from Jeff. That's the worst. But no, I I think that uh that this whole dichotomy that the the girl is going to have to, we hear this a lot on this podcast that the partner is going to have to say to her friend","see. And then you just look like an idiot. <turn>No, but here's the thing. Uh, the worst that can happen is that you walk into your broom closet and your ex is your your girlfriend's ex is fucking railing her and she's saying, ""This is so much better and bigger than I ever got from Jeff."" That's the worst. <turn>Mm-hmm. <turn>But no, I I think that uh, that this whole dichotomy that the the girl is going to have to we hear this a lot on this podcast that the partner is going to have to say to her friend"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0031.wav,The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0031,"live. Currently we live internationally, so it's like a fourteen-hour flight for them. And now would like to see us. Also, we will be working. We live far, so it's definitely a financial commitment for them to get out here. Yet it will be apparent that I'm pregnant. Wait, she, so she is kind of far down the line. <turn>Right, so not for a few more months when there's an arm hanging outside of me and then, then it feels like we have to say something. <turn>How do we handle this? What do we say to them to perhaps encourage them to come at another time?","""live. Currently we live internationally, so it's like a fourteen-hour flight for them, and now would like to see us. Also, we will be working. We live far, so it's definitely a financial commitment for them to get out here. Yet it will be apparent that I'm pregnant."" Wait, she so she is kind of far down the line. <turn>Right, so not for a few more months when there's an arm hanging outside of me. And then then it feels like we have to say something. <turn>""How do we handle this? What do we say to them to perhaps encourage them to come at another time?"""
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0033.wav,The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0033,"they want to wait a few more months, but it will be unbelievably apparent that she's pregnant when they get there in fourteen days. So I I have another option. <turn>Yeah. <turn>Yours is good though. I I think yours is good, which is say, ""Oh yeah, we a lot of our friends said that we should uh or a lot of the books we read said that we should, you know, keep it to ourselves until the blah blah blah mark because of complications."" ""Oh really? Never heard that."" But what another option would be when you pick them up at the airport, you meet them,","They want to wait a few more months, but it will be unbelievably apparent that she's pregnant when they get there in fourteen days. So I I have another option. <turn>Yeah. <turn>Yours is good though. I I think yours is good, which is say, ""Oh yeah, we a lot of our friends said that we should, uh or a lot of the books we read said that we should, you know, keep it to ourselves until the blah blah blah mark because of complications."" ""Oh really? Never heard that."" But what another option would be when you pick them up at the airport, you meet them."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0034.wav,The_Endless_Honeymoon_Podcast_White_People_Nonsense”_0034,"of you and say, no, no, no, you think I'm making a a stupid joke. I'm not. I know I'm prone to those. But this one's real. When you walk in, he stands in front of you, uh, covering your stomach. And then you go, you guys both go, ""We've got a surprise for you!"" And he steps out of the frame and you go, ""We're pregnant!"" And you just make it like this was when you were planning on telling them the whole time. Like there's no explanation needed.","of you and say, ""No, no, no, you think I'm making a a stupid joke. I'm not. I know I'm prone to those. But this one's real."" When you walk in, he stands in front of you, uh, covering your stomach. And then you go you guys both go, ""We've got a surprise for you!"" And he steps out of the frame, and you go, ""We're pregnant!"" And you just make it like this was when you were planning on telling them the whole time. <turn>And <turn>Like there's no explanation needed."
