Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0014.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0014,"Oh! And he was like, uh, this man. <turn>Was there like, did your mom crack the window a little bit for you or something? <turn>Yeah, she left a bowl of water in there for me, too. <turn>Well, I mean, was the window down, or did you open the door? <turn>I I honestly I don't remember. I Yeah, I don't remember. I was in the car, and he came up to me, and he was like, you you as far as this it's all vague, but he's like, ""You can remem- you can you should come with me. I'll buy you a bicycle."" <turn>[laugh] <turn>That was his opening offer. And, by the way, I accepted. <turn>[laugh]","Oh! <turn>And he was like, uh, this man. <turn>Was there like, did your mom crack the window a little bit for you or something? <turn>Yeah, she left a bowl of water in there for me, too. <turn>Well, I mean, was the window down, or did you open the door? <turn>I, I, honestly, I don't remember. <turn>Okay, okay, I give up. <turn>Yeah, I don't remember. I was in the car, and he came up to me, and he was like, you, you—as far as this, it's all vague, but he's like, ""You can—you can, you should come with me. I'll buy you a bicycle."" <turn>[laugh] <turn>That was his opening offer. And, by the way, I accepted."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0017.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0017,"Bye, kid. He's like this even for me, [laugh] even [laugh] even for me, [laugh] this kid is a little bit too much of a talker. And basically <turn>Shady. Yeah. That's a terrible story. <turn>Well, the story's not over yet. We actually hooked up, and he was really hot. <turn>[laugh] <turn>No, the story's not over. I basically kept negotiating with him about the style of bike I was gonna get until my grandma came out of the store and was like, ""Get the fuck outta here."" <turn>Maybe even in that jacket. <turn>Maybe in this very jacket that I wear tonight.","Bye, kid. <turn>[laugh]He's like this even for me <turn>Shady <turn>Even, [laugh] even for me, this kid is a little bit too much of a talker. And basically <turn>That's a terrible story. <turn>Well, the story's not over yet. We actually hooked up and he was really hot. <turn>[laugh] <turn>No, the story's not over. I basically kept negotiating with him about the style of bike I was gonna get until my grandma came out of the store and was like, ""Get the fuck outta here."" <turn>Maybe even in that jacket. <turn>Maybe in this very jacket that I wear tonight."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0019.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0019,"Oh, oh. So, yes. So, then he ran off. It's like, but think about this, like, if I was a little less Jewish, then you would not have, uh, you would not have our daughter. And I would be, uh, you know, in a sex dungeon somewhere or I would have gotten tossed out, probably in my thirties, or be dead. You would, this podcast wouldn't be happening. But I was just a little Jewish enough to be like, ""What kind of bike are we talking about here? I'm gonna need some training wheels."" And, and isn't that crazy? I hope it was true.","Oh, oh. So, yes, so then he ran off. It's like, but think about this, like, if I was a little less Jewish, then you would not have, uh, you would not have our daughter. And I would be, uh, you know, in a sex dungeon somewhere, or I would have gotten tossed out probably in my 30s, or be dead. You would—this podcast wouldn't be happening. But I was just a little Jewish enough to be like, ""What kind of bike are we talking about here? <turn>[laugh] <turn>I'm gonna need some training wheels."" And, and isn't that crazy? I hope it was true."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0021.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0021,"a lot of my childhood in a hot car. <turn>Uh-huh. Yeah, yeah, yeah. For sure. <turn>Or just like running errands after school. Like everything always just like we were driving and it just felt like your mom would have to run in. What is she supposed to do? <turn>But I still there's a part of me, honestly, <turn>It does seem like your kid would be safer in the car <turn>than <turn>than in a store getting lost. Like if you have stuff to do. <turn>What? No. <turn>Like if you've got like a big grocery shop and you've got three kids, how do you like keep them all with you while you go grocery shopping? <turn>They still have to hold your hand.","a lot of my childhood in a hot car. <turn>Uh-huh. Yeah, yeah, yeah. For sure. <turn>Or just like running errands after school. Like, everything always just like, <turn>Right <turn>we were driving and it just felt like your mom would have to run in. What is she supposed to do? <turn>But I still there's a part of me, honestly, <turn>It does seem like your kid would be safer in the car <turn>Than? <turn>than in a store getting lost. Like, if you have stuff to do. <turn>What? No. <turn>Like, if you've got, like, a big grocery shop and you've got three kids, how do you, like, keep them all with you while you go grocery shopping? <turn>They just have to hold your hand."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0023.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0023,"What's that? <turn>Rape and murder. <turn>What? <turn>I believe that's the end game for a guy like that. <turn>Really? <turn>Yeah, I don't think they take you for a ride through town and show you the sights of Oakland. I think they like put you in their van and then you never are seen again. That's what I think. I don't he didn't strike me, I don't know, but he didn't strike me as a man in whose uh wife in a childless marriage that he and his wife had been trying to conceive for years and it had driven them mad.","What's that? <turn>Rape and murder. <turn>What? <turn>I believe that's the end game for a guy like that. <turn>Really? <turn>Yeah. I don't think they take you for a ride through town and show you the sights of Oakland. <turn>[laugh] <turn>I think they, like, put you in their van and then you never are seen again. That's what I think. I don't—he didn't strike me, I don't know, but he didn't strike me as a man in whose, uh, wife, in a childless marriage that he and his wife had been trying to conceive for years and it had driven them mad."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0080.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0080,"a dream that I you tore out the the the carpeting that I have on the steps. And I was just screaming. And then like like I remember waking up and I was just like screaming like bloody murder, you know. And then I and then you helped me move something and you scratched my closet and I screamed really loud. <turn>Uh-huh. That wasn't a dream. That happened. <turn>That happened the next day after I had the dream first. <turn>No. This is","a dream that I, you tore out the, the, the carpeting that I have on the steps. <turn>Uh-huh. <turn>And I was just screaming. And then like, like, I remember waking up and I was just, like, screaming like bloody murder, you know. And then I, and then you helped me move something and you scratched my closet and I screamed really loud. <turn>That wasn't a dream. That happened. <turn>That happened the next day after <turn>No. This has all happened. <turn>I had the dream first. <turn>The"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0027.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0027,"cheese taco. <turn>Oh, you would make your own dinner, too? <turn>I think we Well, my grandma would make us dinner. <turn>Did you ever So your grandma lived with you? <turn>No, she didn't. She lived up the street, though, in this jacket. Going, ""Damn it, he didn't get taken that time, but maybe I can work it out to arrange an abduction with someone else."" <turn>Well, your Grandma Hope sounds like a really cool person. <turn>She was cool. She was a neat lady. Uh, she didn't like She raised my my brother and I in a large way, but she also didn't like, um,","cheese taco. <turn>Oh, you would make your own dinner, too? <turn>I think we—well, my grandma would make us dinner. <turn>Did you ever—so your grandma lived with you? <turn>No, she didn't. She lived up the street, though, in this jacket. <turn>[laugh]<turn>Going, ""Damn it, he didn't get taken that time, but maybe I can work it out to arrange an abduction with someone else."" <turn>Well, your Grandma Hope sounds like a really cool person. <turn>She was cool. She was a neat lady. Uh, she didn't like, she raised my, my brother and I in a large way, but she also didn't like, um..."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0031.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0031,"to grab something because things are kind of relaxing a little bit because they're fully vaxxed, and their like a room had become like <turn>Amazon? <turn>Beyond Amazon. Like *the* Amazon. Like like jung- like a jungle of junk, of as seen on TV boxes. And I mean, chaos. And my mom also is like really, uh, has bad balance because she got a cochlear implant surgery like fifteen years ago, so it fucked up her equilibrium, so she","to grab something because things are kind of relaxing a little bit because they're fully vaxxed, and they're, like, a room had become like <turn>Amazon? <turn>Beyond Amazon. Like *the* Amazon. <turn>Oh, no. <turn>Like, like, like a jungle of junk, of as seen on TV boxes. <turn>No. <turn>And I mean, chaos. And my mom also is, like, really, uh, has bad balance because she got a cochlear implant surgery, like, 15 years ago, so it fucked up her equilibrium, so she"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0033.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0033,"I hope this isn't TMI. But all growing up, my my mom, she had two main narratives. My grandmother, when she got divorced, went to a Jungian analyst, and that's what got her out of her divorce. When my mom got divorced, she went to a therapist, and that's what got her through her divorce. When I started having problems when I was a little kid, she sent me to therapy from a little like therapy was like a religion in our household, right? Therapy was the king of coronavirus in our house, right? And I mean worshipful. And the only good thing my mom ever had to say about my dad, P","I hope this isn't TMI. But all growing up, my my mom, she had two main narratives. My grandmother, when she got divorced, went to a Jungian analyst, and that's what got her out of her divorce. When my mom got divorced, she went to a therapist, and that's what got her through her divorce. When I started having problems when I was a little kid, she sent me to therapy from a little—like therapy was like a religion in our household, right? Therapy was the king of coronavirus <turn>[laugh] <turn>in our house, right? And I mean worshipful. And the only good thing my mom ever had to say about my dad"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Laundry_Girl_0035.wav,The_Endless_Honeymoon_Podcast_Laundry_Girl_0035,"so I can have a chit chat. Not like do pantomime with my kid for the rest whatever. That was like the main narrative. It was like that was good that he went to therapy. And the main narrative in my in my family was like therapy is the solution to all of the problems. So tonight, we're at dinner and I'm talking about the clutter again, because I've brought it up before and she's super defensive. She hates it. I mean, I've seen my mom like crying over like fifteen-year-old TV guides that we're trying to throw out. You know, that kind of shit. At one point we had a major intervention.","so I can have a chit chat. <turn>Right. <turn>Not, like, do pantomime with our kid for the rest—whatever. That was, like, the main narrative. It was, like, that was good that he went to therapy. And the main narrative in my, in my family was, like, therapy is the solution to all of the problems. So, tonight, we're at dinner and I'm talking about the clutter again, because I've brought it up before and she's super defensive. She hates it. I mean, I've seen my mom, like, crying over, like, 15-year-old TV guides that we're trying to throw out. You know, that kind of shit. At one point we had a major intervention."
