Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0007.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0007,"happy that she exists. And I I do wonder what what's what is it that they love so much? They certainly don't love paying for her country homes. <turn>I think it is she represents, you know how America has no center and no soul and literally nothing but a great vacuum that defines it. <turn>So she represents like the racist Nazis. <turn>Yeah, I think they love that she represents the racist Nazis. <turn>Oh, I know what it is! <turn>No, I think Hold on. Well, let me think. <turn>Okay, okay. What","happy that she exists. And I I do wonder what what's what is it that they love so much? They certainly don't love paying for her country homes. <turn>I think it is that she represents, you know how America has no center and no soul and  literally- <turn>mm hmm. <turn> nothing but a great vacuum that defines it? <turn>So she represents like the racist Nazis? [laugh] <turn>Yeah, I think they love that she represents the racist Nazis. <turn>Oh, I know what it is! <turn>No, I think Hold on. Well, let me think. <turn>Okay, okay. What"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0009.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0009,"part of like the circumstance that makes people feel very British. <turn>And that's that's And that's the plot to the movie Knives Out. [laugh] I don't know if you know that. Anyway, we were in England to celebrate the Jubilee, obviously. <turn>No, we were there doing work, Mosha. <turn>We went to go do a television program called The Great American Joke Off, which I believe is a play on words for The Great American Jerk Off, which is what I did at night in the hotel while you slept. The Great American Jerk Off. But um it was a qu- it was an arduous p-","part of like the circumstance that makes people feel very British. <turn>And that's that's And that's the plot to the movie Knives Out. [laugh] I don't know if you know that. Anyway, we were in England to celebrate the Jubilee, obviously. <turn>No, we were there doing work, Moshe. <turn>We went to go do a television program called The Great American Joke Off, which I believe is a play on words for The Great American Jerk Off, which is what I did at night in the hotel while you slept. The Great American Jerk Off. But um it was a qu- it was an arduous "
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0011.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0011,"Yeah, let's bring him on. <turn>You want to jump in? <turn>Yeah, let's bring him on. I mean, I feel personally indebted to him uh because he did so much stand-up because uh we didn't really want to. <turn>Right. That was part of it was it was like you would do this three-hour taping and then also they were like, ""Could you also do two separate five-minute sets in front of the audience that you just did?"" <turn>But this guy's so funny, he did it. <turn>He got up, he did it, but he's not just so funny he did that. He also recently uh released an EP.","Yeah, let's bring him on. <turn>You want to jump in? <turn>Yeah, let's bring him on. I mean, I feel personally indebted to him uh because he did so much stand-up because uh we didn't really want to. <turn>Right. That was part of it was it was like you would do this three-hour taping and then also they were like, ""Could you also do two separate five-minute sets in front of the audience that you just did?"" <turn>But this guy's so funny, he did it. <turn>He got up, he did it, but he's not just so funny he did that. He also recently uh released an e-"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0012.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0012,"where he performed in each of the three rooms at our hometown club here in Los Angeles, the Comedy Store. <turn>That's what the special is? That's so cool! <turn>Well, let's just say his name. Let's bring him in. An old, dear friend and an amazing comedian, a funny guy, and a guy that we saw Lion King on in the West End with, uh, I believe it was his first or second Broadway show ever. Uh, Faheem Anwar, ladies and gentlemen! <turn>Thank you. Thank you. Such suspense. <turn>Yeah.","where he performed in each of the three rooms at our hometown club here in Los Angeles, the Comedy Store. <turn>That's what the special is? That's so cool! <turn>Well, let's just say his name. Let's bring him in. An old, dear friend and an amazing comedian, a funny guy, and a guy that we saw Lion King on in the West End with, uh, I believe it was his first or second Broadway show ever. Uh, Fahim Anwar, ladies and gentlemen! <turn>Thank you. Thank you. Such suspense. <turn>Yeah."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0019.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0019,"Versailles after after we saw you, we went to Paris and went to Versailles. And Versailles is the palace of the of King Louis of France, the the last king before they cut the heads off of the the king and queen. That was his son and daughter-in-law. And you get to Versailles, and it's so unbelievably over the top with opulence and money. You immediately walk in, you go, ""Oh, I see exactly why they cut these people's heads off."" Like I can I can see you're a poor peasant and you sniff the the kind of gilded","Versailles<turn> Oh yeah. <turn> Aft- after we saw you, we went to Paris and went to Versailles. And Versailles is the palace of the of King Louis of France, the the last king before they cut the heads off of the the king and queen. That was his son and daughter-in-law. And you get to Versailles, and it's so unbelievably over the top with opulence and money. You immediately walk in, you go, ""Oh, I see exactly why they cut these people's heads off."" Like I can, I can see you're a poor peasant and you sniff the the kind of gilded"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0022.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0022,"people know that it's a grift. Anybody <turn>No, they don't. They love it. <turn>They love it, but they know it's <turn>Jubilee. People every we were in we were in a hotel in London and it was full of people from England who would who were all coming to celebrate the Queen's Jubilee. <turn>I'm not saying they don't love the Queen. All I'm saying is they went from like being in power, controlling everything to and and ergo taking all the tax money to being nothing but a symbol, but still taking a lot of the tax money. So they're kind of going like","people know that it's a grift. Anybody <turn>No, they don't. They love it. <turn>They love it, but they know once-<turn>The Jubilee. People, every we were in, we were in a hotel in London and it was full of people from England who would who were all coming to celebrate the Queen's Jubilee. <turn>I'm not saying they don't love the Queen. All I'm saying is they went from like being in power, controlling everything to and and ergo taking all the tax money to being nothing but a symbol, but still taking a lot of the tax money <turn>Oh yeah.<turn> So they're kind of going like"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0025.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0025,"stated. I mean, of course our system's terrible too. <turn>I was thinking about that the whole time we were there for Jubilee, and it almost just shows you how innocuous the queen is. It's just like she can't really rock the boat that much, or im- implement too much change. She's a figurehead. And I was thinking, 'cause she was ruling for what? It's celebrating seventy years of <turn>Seventy years. <turn>Could you imagine if Trump was in, if we had in America seventy [laugh] seventy years? Like how how much the country changed in four years? Imagine seventy years like a Trump jubilee. <turn>[laugh] It's insane.","dated.<turn>You think- <turn> I mean, of course our system's terrible too.<turn>You think- <turn>I was thinking about that the whole time we were there for Jubilee, and it almost just shows you how innocuous the queen is. It's just like she can't really rock the boat that much, or im- implement too much change. She's a figurehead. And I was thinking, 'cause she was ruling for what? It's celebrating seventy years of-<turn>Mm hmm. <turn>Seventy years. <turn>Could you imagine if Trump was in <turn>[laugh], <turn>if we had in like an America ju-<turn>Seventy years-<turn> like seventy years?<turn>[laugh]<turn> Like how how much the country changed in four years? <turn> It's insane. <turn> Imagine seventy years like a Trump jubilee. "
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0027.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0027,"are these people? Why are they living in this kind of opu- they live in a palace because what? Because once their family was in charge of the country three hundred years ago before the Magna Carta? And now they're just still kind of like taking a gold stage coach into the Buckingham Palace gates going, like, ""I hope nobody figures this out."" <turn>Yeah, like stealing other countries and ruling over them. <turn>That's it. I got to say, like, the the the","are these people? Why are they living in this kind of opu- They live in a palace because what? Because once their family was in charge of the country [laugh] three hundred years ago before the Magna Carta? And now they're just still kind of like taking a gold stage coach into the Buckingham Palace gates going, like, ""I hope nobody figures this out."" <turn>Yeah, like stealing other countries and ruling over them. <turn>That's it. I got to say, like, the the the"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0031.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0031,"Yeah. Poundstone is an interesting one following those two. Nothing against Poundstone, just like if you were an algorithm, you you would need to like, ""Those who like these two also like Paula Poundstone."" I'd be like, ""What's up with Netflix?"" [laugh] <turn>I do like Paula Poundstone. <turn>Uh so for him, what's what's what what is your internal life like? What what are you into right now? What are you afraid of? Are you afraid What what brings you more fear? Um coastal change, uh <turn>Mhmm.","Yeah. Poundstone is an interesting one[laugh] following those two. Nothing against Poundstone, just like if you were an algorithm,[laugh] you you would need to like, ""Those who like these two also like Paula Poundstone."" I'd be like, ""What's up with Netflix?"" [laugh] <turn>I do like Paula Poundstone. <turn>Uh so Fahim, what's what's what what is your internal life like? What what are you <turn>Internal life. <turn> into right now? What are you afraid of? Are you afraid What what brings you more fear? Um coastal change? <turn>Mhmm. <turn>uh."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0033.wav,The_Endless_Honeymoon_Podcast_“Deep_Learning”_with_Fahim_Anwar_0033,"like he's a smart man, so he's not like just concerned about cancel culture. So, so what where are your thoughts? Um, what do you <turn>Yeah, I like this question. What do you what keep what are your demons? What keeps you up at night? <turn>Man. You know, we were in the hallway of the Comedy Store just talking about AI and how it's progressing and all that. And then, like have you seen that image generator where you can type It's making the rounds on Twitter where you can This I forget what the website is, but you can type in anything you want, and it'll generate <turn>Yeah. <turn>Yeah.","like he's a smart man, so he's not like just concerned about cancel culture. So, so what [laugh]where are your thoughts? Um, what do you <turn>Yeah, I like this question. What do you what keep what are your demons? What keeps you up at night? <turn>Man. You know, we were in the hallway of the Comedy Store just talking about AI and how it's progressing and all that. And then, like have you seen that image generator where you can type It's making the rounds on Twitter- <turn>Yeah. <turn>where you can This I forget what the website is, but you can type in anything you want, and it'll generate <turn>Yeah. "
