Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0009.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0009,"And it was like two o'clock in the morning and I was riding back and he stopped me. He's like, ""Hey man, some bullshit story. Can I just grab your bike and I'll be right back?"" And I stood on that the moment I gave him the bike, I'm like, ""My bike is gone."" But I stood on that corner for like two hours waiting for the bike to come back and it never came back. And then years later, my buddy who was like a close friend of mine <turn>Right. <turn>was like, ""Oh yeah, he rode it to my house and exchanged it for like four grams of weed and I kept it."" Right. <turn>That That night?","And it was like two o'clock in the morning and I was riding back and he stopped me. He's like, ""Hey man,"" some bullshit story, ""can I just grab your bike and I'll be right back?"" And I stood on that, the moment I gave him the bike, I'm like, ""My bike is gone."" But I stood on that corner for like two hours waiting for the bike to come back and it never came back. And then years later, my buddy who was like a close friend of mine <turn>Right. <turn>was like, ""Oh yeah, he rode it to my house and exchanged it for like four grams of weed and I kept it."" <turn>Right. That, that night"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0015.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0015,"artistic. We were graffiti writers. That's what we, that, that was our Yeah. <turn>That's what we were. We, we were WTA, Wack Taggers Anonymous. <turn>We were you, uh, UCF, uh, Unconvicted Felons. <turn>This is getting too real. <turn>Yeah, it's way too real. <turn>Wait. Andres, is this real for you? <turn>Yeah. <turn>What was the name of the crew? <turn>Wack Taggers Anonymous. <turn>Oh wow, so you guys are self-effacing. <turn>Yes. That's cool. <turn>Because the whole thing was like, uh, there were definitely like legit graffiti writers at our high school who really gave a fuck, went bombing and like all that. But then we were like, well, we're not really that good at it. And then slowly but surely","artistic. We were graffiti writers. That's what we <turn>That's what we were. <turn>Yeah. We, we were WTA, Wack Taggers Anonymous. <turn>We were you UCF, Unconvicted Felons. <turn>This is getting too real. <turn>Yeah, it's way too real. <turn>Wait. Andres, is this real for you? <turn>Yeah. What was the name of the crew? <turn>Wack Taggers Anonymous. [laugh] <turn>Oh wow, so you guys were self-effacing? <turn>Yes and <turn>That's cool. <turn>Because the whole thing was like, there were definitely like legit graffiti writers at our high school who really gave a fuck, went bombing and like all that. But then we were like, well, we're not really that good at it and then slowly but surely"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0017.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0017,"your restaurant. So we had UCF, unconvicted felons. <turn>Right. <turn>And then we had something, uh, IA, which was called Illegal Art. And then they wanted to start, it was all the same people, by the way, I don't know why we were doing multiples. But they wanted to start, my friends wanted to start a third which was Simply Saucy. <turn>Oh my god. <turn>And I had to stop them and go, ""Hey guys, we can't go around Oakland writing SS on every wall."" <turn>Right. That's rough. <turn>I was like, I was the one Jewish kid. So I was like, you know, SS actually has, like, kind of a, a deeper devil entendre. <turn>Yeah. <turn>And they were like, ""Give me your bike!"" <turn>[laugh]","your rest story. So we had UCF, Unconvicted Felons. <turn>Right. <turn>And then we had something IA, which was called Illegal Art. <turn>Oh, my God. <turn>And then they wanted to start, it was all the same people, by the way, I don't know why we were doing multiples. But they wanted to start, my friends wanted to start a third which was Simply Saucy [laugh] and I had to stop them and go, ""Hey guys, we can't go around Oakland writing SS on every wall."" <turn>Right. That's rough. <turn>I was like, I was the one Jewish kid so I was like, ""You know, SS actually has, like, kind of a, a deeper devil entendre."" [laugh] <turn>And they were like, ""Give me your bike!"" [laugh]"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0019.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0019,"say no, no, no. Not not on the the the Decatur mansion. Let us move to the next <turn>The changing table at the gas station. <turn>No, you can tell us. You go over like corporate shit. <turn>Yeah. <turn>You didn't care for that. <turn>All right. <turn>I the rules I remember from Graffiti were no personal houses and no trees. <turn>Yeah, I hate when they do the trees. Wow. <turn>That was what I remember. I mean <turn>That's some Bay Area shit, maybe. Or some West Coast shit. <turn>Yeah, maybe, but like I mean you just wouldn't write on trees any or tag on trees. <turn>People do it here. <turn>Yeah, absolutely. <turn>Do they? <turn>P","say, ""No, no, no. Not, not on the, the, the Decatur mansion. Let us move to the next."" <turn>The changing table at the gas station. <turn>Right. <turn>No, you can tell. <turn>You go over like corporate shit. <turn>Yeah. <turn>You didn't care for that. <turn>All right. <turn>I, the rules I remember from graffiti were no personal houses and no trees. <turn>Yeah, I hate when they do the trees. <turn>Wow. <turn>That was what I remember. <turn>I mean <turn>That's some Bay Area shit, maybe or some hippy shit. <turn>Yeah, maybe, but like I mean you just wouldn't write on trees any, or tag on trees. <turn>People do it here. <turn>Yeah, I've seen that. <turn>Do they?"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0020.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0020,"Back home, it's like barky, whereas a palm tree is smooth. Um <turn>How would you feel if your son, um, <turn>Are you just here to lecture us? <turn>I'm curious. <turn>Look, if he ends up like my homies who are now like clothing designers and still fine artists that like work and that's their thing. Awesome. <turn>Right. <turn>I feel like you had a similar childhood to me, but on a in a nicer, uh like you're the people were smarter.","[laugh] <turn>Back home, it's like barky, whereas a palm tree is smooth. <turn>How would you feel if your son <turn>Are you just going to lecture us? <turn>tag? [laugh] I'm curious. <turn>Look, if he ends up like my homies who are now like clothing designers and still fine artists that like work <turn>Yeah. <turn>and that's their thing, awesome. <turn>Right. <turn>I feel like you had a similar childhood to me, but on a, in a nicer, like your, the people were smarter."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0026.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0026,"everything and kids with nothing, and everybody's mixed together and <turn>But it's a suburb, right? <turn>Yeah, it's just on the north side. <turn>Why are you trying to emasculate him? <turn>I'm not, but I just <turn>He's hard. This is fine. <turn>Uh, it's just on the north side of the city. Um <turn>So you can still kind of go to Chicago easily, I guess. <turn>Yeah. So like my wife grew up on the border of the city, and like when she would go for a run, she'd go into the city, but it's like um it's Rogers Park, which some people don't even consider the city, but I don't know. <turn>There's a good comedy club there.","everything and kids with nothing, and everybody's mixed together and <turn>But it's a suburb, right? <turn>Yeah, it's just on the north side. <turn>Why are you trying to emasculate him? <turn>I'm not, but I just <turn>He's hard. <turn>This is fine. It's just on the north side of the city. <turn>So you can still kind of go to Chicago easily, I guess? <turn>Yeah. So like my wife grew up on the border of the city, and like when she would go for a run, she'd go into the city, but it's like, it's Rogers Park, which some people don't even consider the city, but you know. <turn>There's a good comedy club there."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0032.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0032,"Yep. Um, it was so much it just made it so much better. Cuz like we were Really? Oh yeah.  we give up. Fuck it. You wanna take over the podcast? Can you call your wife and see if she wants to do the podcast right now? <turn>Cuz we we had to like share an office, and so like we're just in a room all day together, and I'm like, let's just, let's just fuck real quick. You know what I mean? Like, you just are like <turn>Oh a lot of sex. <turn>we're around each other so much more, and it's like","Yep. It was, it just made it so much better cause like we were [laugh] <turn>Really? <turn>Oh yeah. <turn>We give up. [laugh] Fuck it. You want to take over the podcast? <turn>Cause like <turn>Can you call your wife and see if she wants to do the podcast from now on? <turn>Cause we, we had to like share an office, and so like we're just in a room all day together, and I'm like, ""Let's just, let's just fuck really quick."" <turn>Oh, a lot of sex. <turn>You know what I mean? Like, you just are like <turn>we <turn>you're around each other so much more, and it's like"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0034.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0034,"Let's get back to this. Let's get back to you trying to figure out what's wrong with her marriage. <turn>No, no, no. I I'm just very intrigued by that because the pandemic made me so depressed. It didn't exactly make me horny. Like, you know, you read the news and then you're like, wanting to fuck. <turn>He already told you he doesn't believe in it. <turn>Yeah, no, no. I mean, look, uh, obviously, it was <turn>What's your secret? <turn>Um, I don't know. I don't know. I mean, I like, as far as like the pandemic being kind of freaky at first, for sure. I'm at Gelsons like","[laugh] Let's get back to this. Now, let's get back to you trying to figure out what's wrong with our marriage. [laugh] <turn>No, no, no. I, I'm just very intrigued by that because the pandemic made me so depressed. It didn't exactly make me horny. Like, you know, you read the news and then you're like wanting to fuck. <turn>He already told you he doesn't believe in it. [laugh] <turn>Yeah, no, no. I mean, look, obviously, it was <turn>What's your secret? <turn>I don't know. I don't know. I mean, like, as far as like the pandemic being kind of freaky at first, for sure. I'm at Gelson's like"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_Live_From_the_Anal_Man_Cave_with_Adam_Cayton-Holland_0012.wav,The_Endless_Honeymoon_Podcast_Live_From_the_Anal_Man_Cave_with_Adam_Cayton-Holland_0012,"He like he went and bought dog bowls. <turn>I remember your dad. <turn>And he was just he's he would always one more thing about my dad. There's one leather chair in the entire house and that's he would sit on the edge of that because he didn't want any dog hair to like get near him. <turn>Here's the thing about your dad. He once told me to put my feet down. In my house, on my table. I was like, uh, this is my house. I put my feet where I want. <turn>Okay. <turn>I didn't say that, but I thought it strongly. Uh, but I think with a more casual","He like, he went and bought dog bowls. <turn>I remember your dad <turn>And he was just, he's, he would only, one more thing about my dad, there's one leather chair in the entire house and that's, he would sit on the edge of that [laugh] because he didn't want any dog hair to like get near him. <turn>Here's the thing about your dad. He once told me to put my feet down in my house, on my table. I was like, ""This is my house. I put my feet where I want."" <turn>Okay. <turn>I didn't say that, but I thought it strongly. But I think with a more casual"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0038.wav,The_Endless_Honeymoon_Podcast_“Vibes_Over_Everything”_with_Anders_Holm_0038,"northern European specialties that you <turn>What what's the la- what do you ever go to that one Norwegian restaurant? <turn>Yo, I know you're doing a bit right now, but actually, there's a restaurant in San Francisco that was fine dining uh Norwegian fine dining, and it was so good. It was so great, I got to look it up. <turn>There's no way. Meats and breads, basically? <turn>It was really good. They had a version of the Ikea meatball that uh but it was on a different, on a kind of a different level. A lot of ling- lingonberries and things like that. <turn>Fish? Lingonberries, yeah, yeah. Well, there is a lot of Swedish","northern European specialties that your <turn>What, what's the, what, do you ever go to that one Norwegian restaurant? <turn>Yo, [laugh] I know you're doing a bit right now, but actually, there's a restaurant in San Francisco that was fine dining, Norwegian fine dining <turn>There's no way. <turn>and it was so good. It was so great, I got to look it up. <turn>Was it meats and breads, basically? <turn>It was really good. <turn>Fish? <turn>They had a version of the IKEA meatball that, but it was on a different, on a kind of a different level. A lot of ling- lingonberries and things like that. <turn>Lingonberries, yeah, yeah. <turn>Well, there is a lot of Swedish"
