Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0010.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0010,"No, there's other ones. <turn>There's nine million Christmas songs. <turn>Exactly. So the thing is, the war is already lost. The war on Christmas is already lost. Christmas won. So I'm just not trying to have her like go to a mall. If I get, if if if she gets to be eighteen and without ever sitting on Santa's lap at a mall, I'll be happy. I'll be thrilled. <turn>See, you weren't trying to get her to sit on the lap. You just didn't want her to like make eye contact with him. <turn>That's what I'm talking about. No, I didn't want her to see him and go ""Ooh, Santa.""","No, there's other ones. <turn>There's nine million Christmas songs. <turn>Exactly. So the thing is, the war is already lost. The war on Christmas is already lost. Christmas won. So I'm just not trying to have her like go to a mall. If I get, if if if she gets to be eighteen and without ever sitting on Santa's lap at a mall, I'll be happy. I'll be thrilled. <turn>See, you weren't trying to get her to sit on the lap. You just didn't want her to like make eye contact with him. <turn> No, I didn't want her to see him and go ""Ooh, Santa."""
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0013.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0013,"there talking about you got to make a list. I'm like, ""Get the fuck away from my child, you piece of shit."" <turn>He did ask her about her list. <turn>A list? Get the fu- You think Jews like hearing Gentiles talk about lists? [laugh] Absolutely not. We've been on lists before. <turn>Well, anyway, so we finally get to the funny part of the story, Moshe, which is that <turn>that he Yes, that like a homing device, he smelled a child that hadn't been seduced by Santa, and he came to our kid. But now I realize that the real reason you skipped to the end is because","they're talking about you got to make a list. I'm like, ""GET THE FUCK AWAY FROM MY CHILD, YOU PIECE OF SHIT."" <turn>He did ask her about her list. <turn>A list? Get the fu- You think Jews like hearing Gentiles talk about lists? <turn>[laugh]<turn> Absolutely not. We've been on lists before. <turn>Well, anyway, so we finally get to the funny part of the story, Moshe, which is the <turn>that he Yes, that like a homing device, he smelled a child that hadn't been seduced by Santa, and he came to our kid. But now I realize that the real reason you skipped to the end is because"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0017.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0017,"Christians believe that Jesus is God's son. And she would go, ""Yeah, I know."" And I would say, ""But Jews don't believe that."" She'd go, ""Yeah, I know. But he's God's son."" <turn>Yeah, she just kept repeating. <turn>And I was like, ""No, he's not. I mean, he I I'm not saying he's not. I'm saying we don't think that."" And she finally got it. She goes Well, first she goes, ""Jesus is God's husband."" And I was like, ""No, not quite."" Then she goes, I go, ""But Jews don't believe that Jesus is God."" And she goes, ""Right.""","Christians believe that Jesus is God's son, and she would go, ""Yeah, I know."" and I would say, ""But Jews don't believe that."" She'd go, ""Yeah, I know but he's God's son."" <turn>Yeah, she just kept repeating.[laugh] <turn>And I was like, ""No, he's not. I mean, he I I'm not saying he's not. I'm saying we don't think that."" And she finally got it. She goes Well, first she goes, ""Jesus is God's husband."" And I was like, ""No, not quite."" Then she goes, I go, ""But Jews don't believe that Jesus is God."" And she goes, ""Right."""
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0019.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0019,"There's one song, it's about lighting oil or using oil to light a candle and the food is bad. <turn>Hanukkah sucks. Hanukkah suck. First of all, the food is not bad, the food is good. The food is good. Latkes are fucking banging. <turn>And there's no decoration and there's no spirit. <turn>Okay, latkes are good. Latkes and latkes and and <turn>and jelly donuts. <turn>Oh, I'm sorry. What is Christmas food? Ham? <turn>Italian Christmas cookies are good. <turn>Italian cookies aren't good. <turn>Yes, no, they are. <turn>No, they're not. They are not. They they are the dust of Rome.","There's one song, it's about lighting oil or using oil to light a candle and the food is bad. <turn>Hanukkah sucks. Hanukkah suck. First of all, the food is not bad, the food is good. The food is good. Latkes are fucking banging. <turn>And there's no decoration and there's no spirit. <turn>Okay, latkes are good. Latkes and latkes and and <turn>and jelly donuts. <turn>Oh, I'm sorry. What is Christmas food? Ham? <turn>Italian Christmas cookies are good. <turn>Italian cookies aren't good. <turn>Yes, no, they are. <turn>No, they're not, They are not. They they are the dust of Rome.<turn>[laugh]"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0021.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0021,"French. Italy's like a distant third. All every every other place it's it's all about France and America. Britain, pretty good. <turn>India, Thai, China, pretty horrifying. <turn>Oh, anything Asian, get out of here. I mean, I <turn>No, mochi's good. <turn>Mochi is fine. Mochi's fine. It's it's like a tasty fine treat. Is it Have you ever taken a bite of mochi and gone, ""Oh my God."" <turn>I do love green tea mochi, and I like the texture of mochi. Mochi, I think, is very subtle. <turn>You're misunderstanding.","French. Italy's like a distant third. All every every other pla it's it's all about France and America. Britain, pretty good. <turn>India, Thai, China, pretty horrifying. <turn>Oh, anything Asian, get out of here. I mean, I eh <turn>No, mochi's good. <turn>Mochi is fine. Mochi's fine. It's it's like a tasty fine treat. Is it Have you ever taken a bite of mochi and gone, ""Oh my God."" <turn>I do love green tea mochi,<turn>No<turn> and I like the texture of mochi. Mochi, I think, is very subtle. <turn> You're misunderstanding."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0022.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0022,"very subtle. Have you ever bitten into a mochi and go, ""Oh my god, wow."" <turn>I don't talk to my desserts. [laugh] <turn>But most of the time mochi's got bean paste in it. And then you got, like, people going like, you got people going like, ""No, no, no, this is a good dessert."" It's not a good dessert. And listen, uh, Asian food is superior to European food in in in most reg- most regards. But dessert? Get the fuck out of here. Indian desserts? No, thank you. Chinese desserts? No, thank you. And <turn>Bean paste can be good.","very subtle. Have you ever bitten into a mochi and go, ""Oh my god, wow."" <turn>I don't talk to my desserts. [laugh] <turn>But most of the time mochi's got bean paste in it, and then you got, like, people going like, you got people going like, ""No, no, no, this is a good dessert."" It's not a good dessert and listen, uh th-, Asian food is superior to European food in in in most reg- most regards. But dessert? Get the fuck out of here. Indian desserts? No, thank you. Chinese desserts? No, thank you. And <turn>Bean paste can be good."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0023.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0023,"rice is good or mango coconut rice. <turn>Yes, that is one of the great desserts of all time. I will give the Thai people that sticky rice with mango is one of the great desserts of all time. But then you get into, um, then you get into Japan. And people go, ""Well, what about Japan?"" Japan doesn't count. Because Japan, what they do is they do, they take everything <turn>and make it better. <turn>and make it better. So you can get the best pizza of your life in Japan. You can get the best French food of your life in Japan. So they don't count. Yes, okay, it's better. But it but Japanese desserts themselves","rice is good or um mango coconut rice. <turn>Yes, that is one of the great desserts of all time. I will give the Thai people that sticky rice with mango is one of the great desserts of all time. But then you get into, um, then you get into Japan and people go, ""Well, what about Japan?"" Japan doesn't count. Because Japan, what they do is they do, they take everything <turn>and make it better. <turn>and make it better. So you can get the best pizza of your life in Japan, you can get the best French food of your life in Japan, so they don't count. Yes, okay, it's better but it but Japanese desserts themselves"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0030.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0030,"You better go back to the Windy City. We'll stay here in the Big Apple. <turn>Aren't those pizza, isn't that kind of like Sbarro's? <turn>What the fuck are you talking about? <turn>Like that style of pizza. <turn>Sbarro's is a New York style pizza in the way that, in the way that, uh, McDonald's is a, is a, is a Southern California greasy spoon type of ham, I mean, what do you, what do you mean? The point is Kelly, we'd love to hear what you have to say. <turn>P","You better go back to the Windy City. We'll stay here in the Big Apple. <turn>Aren't those pizza, isn't that kind of like Sbarro's? <turn>What the fuck are you talking about? <turn>Like that style of pizza. <turn>Sbarro's is a New York style pizza in the way that, in the way that, um, Mcd- McDonald's is a, is a, is a Southern California greasy spoon type of ham, I mean it, what do you, what do you mean? The point is Kelly, we'd love to hear what you have to say. <turn>"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0037.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0037,"Also personalities, sometimes people have like really bubbly personalities that make you a certain way and what do they say in AA, honey? <turn>Compare and despair. That's what they say. Compare and despair. And I think that that is where you're at. <turn>But but the truth is, it's not even about looks. It's like energetically, like there's some people I'm friends with and every time I'm around them, I'm I'm like funnier around them. You know, it's like they they give you that energy or they <turn>Oh no. Oh, I get it.","Also personalities, sometimes people have like really bubbly personalities that make you a certain way and what do they say in AA, honey? <turn>Compare and despair. That's what they say. Compare and despair and I think that that is where you're at. <turn>But but the truth is I, it's not even about looks. It's like energetically, like there's some people I'm friends with and every time I'm around them, I'm I'm like funnier around them.<turn>uhum<turn> You know, it's like they they give you that energy or they <turn>Oh no. Oh, I get it."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0038.wav,The_Endless_Honeymoon_Podcast_“The_Healing_Power_of_Film”_0038,"make you shine. And like that is just like a chemistry thing, you know? So it's like, you just have to, like, you're in fucking New York. Like, you just have to branch out and do some of your own stuff and meet your own friends, and like, instead of making it your social life ninety percent her, ten percent not, you know, it'll become like forty or fifty, or, you know what I mean, and you'll, like, meet your own friends and get into your own stuff and meet like-minded people and","make you shine and like that is just like a chemistry thing, you know? So it's like, you just have to, like, you're in fucking New York. Like, you just have to branch out and do some of your own stuff and meet your own friends, and like, hm instead of making it your social life ninety percent her, ten percent not, you know, it'll become like forty or fifty, or, you know what I mean, and you'll, like, meet your own friends and get into your own stuff and meet like-minded people and"
