Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0007.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0007,"The fights were on and you were like, ""It's all good, go watch them."" That was really nice. Actually, the scene tonight in, uh, here, and just to break the fourth wall of this podcast a bit, we we watch TV in the same room that we tape this podcast in. So the the if you're watching on YouTube, you're actually seeing what I look like when I'm watching TV. It's pretty wild. But anyway, Natasha came down with the kid, uh, our child, or actually Natasha's child, and, um,","feel bad, like. <turn>The fights were on and you were like, ""It's all good, go watch them."" That was really nice. Actually, the scene tonight in, uh, here, and just to break the fourth wall of this podcast a bit, we, we watch TV in the same room that we tape this podcast in. So the, the, if you're watching on YouTube, you're actually seeing what I look like when I'm watching TV. It's pretty wild. But anyway, Natasha came down with the kid, uh, our child, or actually, Natasha's child, and, um,"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0009.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0009,"That isn't what happened. I was watching the fights and I kept hearing in in my headphone. I had the full headphone and you know, it's like fight, fight, fight. And then I hear, ""Mama! Mama!"" Every about five minutes. ""Mama!"" And I pop out an earbud and I'm like, ""What's up?"" And she's like, ""I'm about to watch to purchase Trolls two for twenty dollars. Can you talk me out of it?"" [laugh] <turn>[laugh] And so I did. I talked you out of it and then you flipped on Mary Poppins. <turn>You said, ""Don't pay for inferior quality.""","That is what happened. I was watching the fights and I kept hearing in, in my headphone, I had the full headphone, and you know, it's like fight, fight, fight, and then I hear, ""Moshe. Moshe"" <turn>[laugh] <turn>Every about five minutes. ""Moshe."" And I pop out an earbud, and I'm like, ""What's up?"" and she's like, ""I'm about to watch to purchase Trolls 2 for twenty dollars. Can you talk me out of it?"" <turn>[laugh] <turn>And so I did. I talked you out of it, and then you flipped on Mary Poppins. <turn>You said, ""Don't pay for inferior quality."""
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0013.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0013,"do do mustaches on your little lip. <turn>But I did Chipotle. Chipotle had it made for me when I had started calming with this beautiful painting and <turn>I felt bad. I felt bad. She screamed, by the way, I was in the middle of something, and she screamed [screech] and I came down and she had the child. She was holding the child like her head was balanced on her chest and her ankle, she had the child by the ankles, and her ass, her shitty ass was up in the air and she's like, ""I need help!"" <turn>No, it was her feet because she was","doodoo mustaches on your little lip. <turn>But I did Chipotle. Chipotle had it made for me when I had started calming with this beautiful painting and <turn>I felt bad. I felt bad. She screamed, by the way, I was in the middle of something, and she screamed, ""Moshe,"" and I came down, and she had the child, she was holding the child like her head was balanced on her chest, and her ankle, she had the child by the ankles, and her ass, her shitty ass was up in the air, and she's like, ""I need help."" <turn>No, it was her feet because she was"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0014.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0014,"So she went for a shit shit storm. [laugh] Yeah. <turn>But I so it took a very long time to disinfect it. <turn>So I went in, I grabbed grabbed the log. I will admit that I missed a See, I missed a pile. There was a log and a pile and I just didn't know. But I grabbed the log into a dog bag. I I didn't really have an emotional response to it but Natasha, you were pretty distraught. <turn>Distraught, disturbed. I've been pretty disturbed lately in general. Between racists,","So she went for a shit, shit stomp. <turn>[laugh] <turn>Yeah. <turn>But I, so it took a very long time to disinfect it. <turn>So I went in, I grabbed grabbed the log. I will admit that I missed a, see, I missed a pile. There was a log and a pile, and I just didn't know. But I grabbed the log into a dog bag. I, I didn't really have an emotional response to it but, Natasha, you were pretty distraught. <turn>Distraught, disturbed. I've been pretty disturbed lately in general. Between racists,"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0016.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0016,"I mean, as a woman, well, let me ask you this, Moshe. Did you get into comedy to pick up girls? <turn>I think that's too simple of a read. <turn>No, I hear you. I'm just I'm just trying to say, like, I've <turn>No, well No, I've been hearing a lot of that, and I think it's been really a fair critique, like, who are these guys who seem to use comedy as a as a predatory mechanism to womanize. <turn>And not just womanize, like <turn>Yeah, the","I mean, as a woman, well, let me ask you this, Moshe, did you get into comedy to pick up girls? <turn>I think that's too simple of a read. <turn>No, I hear you. I'm just <turn>No, but <turn>I'm just trying to say, like, as a <turn>No, I've been hearing a lot of that, and I think it's been really a fair critique. Like, who are these guys who seem to use comedy as a, as a predatory mechanism to womanize. <turn>And not just womanize, like <turn>Yeah, the"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0018.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0018,"and I and I made a thousand mistakes with women and and and and treated people inconsiderately and uh you know, there's certainly there's certainly a time periods in my life when I was younger where I was you know, much less thoughtful and much less concerned with uh you know, everybody's on a spectrum, you know, uh all men are on this spectrum of this legacy of um kind of p","and I, and I made a thousand mistakes with women and, and, and, and treated people inconsiderately, and, uh, you know, there's certainly there's certainly a time periods in my life when I was younger where I was, you know, much less thoughtful and much less concerned with, uh, you know. Everybody's on a spectrum, you know. Uh, all men are on this spectrum of this legacy of, um, kind of"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0020.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0020,"get <turn>That is true. Dick. <turn>They're not trying to fuck anyone. They're not trying to fuck the managers at the comedy clubs. <turn>I was gonna say. I always say <turn>or the waitresses, or the nineteen-year-old Vine stars that come to their show. <turn>Totally. I always say like that you could tell the difference between the dichotomy between men and women, uh, can be typified in male and female comedians. I've never met a male comedian who hasn't fucked a fan.","get <turn>That is true. <turn>dick. They're not trying to fuck anyone. They're not trying to fuck the managers at the comedy clubs. [laugh] <turn>I was gonna say. I always say <turn>or the waitresses, or the nineteen-year-old Vine stars that come to their show. <turn>Totally. I always say, like, that you could tell the difference between the dichotomy between men and women, uh, can be typified in male and female comedians. I've never met a male comedian who hasn't fucked a fan."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0021.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0021,"and who has. It it's that simple. But this is what I was going to say. All that aside, that that that no man gets out of the dating dance uh uh unscathed by, you know, the the the the misogynistic lessons that that they learn from growing up a boy. You just it's just the way it is. Um but that said, like it's possible to be promiscuous.","edian who has. It, it's that simple. But this is what I was going to say, all that aside, that that, that no man gets out of the dating dance, uh, uh unscathed by, you know, the, the, the, the misogynistic lessons that, that they learn from growing up a boy. You just, it's just the way it is. Um, but that said, like, it's possible to be promiscuous"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0024.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0024,"and think, you know, there were times when, uh, you know, I was inconsiderate, or there were times that where I used my, uh, my my male sort of, uh, privilege to, you know, be to get a thing that to be less considerate than I could have been, blah, blah, blah. What I learned about in the comedy community this week was so far on that on the other side of that spectrum, it was","and think, you know, there were times when, uh, you know, I was inconsiderate, or there were times that where I used my, uh, my, my male sort of, uh, privilege to, you know, be to get a thing that to be less considerate than I could have been, blah, blah, blah. What I learned about in the comedy community this week was so far on that on the other side of that spectrum. It was"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0026.wav,The_Endless_Honeymoon_Podcast_“It_doesn’t_start_when_your_dick_gets_hard”_0026,"Well, but it's a it's a <turn>And it's illegal and <turn>But it's a it's a it's an <turn>I can't really even like think about it. <turn>But it's an extension of what you're talking about. It's like, you know, these these men that want to be worshipped, well, who's going to worship you more than someone who's, you know, mentally unable to think I'm being approached by a creep. This person's age, these are people who are so young that they were overwhelmed by the fame of the person.","Well, but it's a, it's a <turn>And it's illegal, and <turn>But it's a, it's a, it's an <turn>I can't really even like think about it. <turn>But it's an extension of what you're talking about. It's like, you know, these these men that want to be worshiped. Well, who's going to worship you more than someone who's, you know, mentally unable to think, ""I'm being approached by a creep."" This person's age, these are people who are so young that they were overwhelmed by the fame of the person."
