Audio Clip Url,Tag Name,Original Transcript,Updated Transcript
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0010.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0010,"and stuff like that. But the contour <turn>Okay, hold on. Speaking of our child, can I just say, this really depressed me. She tonight when I came in, you guys were looking at sparkly jackets, and then she said she wants to get a jacket like an L.O.L. Surprise girl. [laugh] I never let her watch that show. When we see that icon on Netflix, I go past it. How are you home one day and now you're shopping for that jacket? <turn>By the way, you don't even know the half of it, because <turn>What's a L.O.L. Surprise girl? <turn>Well, it's an L.O.L. Surprise","and stuff like that. But the contour <turn>Okay, hold on. Speaking of our child, can I just say, this really depressed me. She tonight when I came in, you guys were looking at sparkly jackets, and then she said she wants to get a jacket like an L.O.L. Surprise girl. <turn>[laugh]. <turn>I never let her watch that show. When we see that icon on Netflix, I go past it. How are you home one day and now you're shopping for that jacket? <turn>By the way, you don't even know the half of it, because <turn>What's a L.O.L. Surprise girl? <turn>Well, it's an L.O.L. Surprise"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0013.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0013,"Uh, but that's neither here nor there, we should be fine. Um, Natasha, <turn>How will it affect you, Mosha? <turn>You know, this whole idea of like you either have a good a good nation or Hitler is so fake. Most nations outside of like a very little teeny sliver are in in somewhere in the middle of like of a progressive liberal democracy and a fascist um nightmare, like","Uh, but that's neither here nor there, we should be fine. Um, Natasha, <turn>How will it affect you, Mosha? <turn>You know, this whole idea of like you either have a good a good nation or Hitler is so fake. Most nations outside of like a very little teeny sliver are in in somewhere in the middle of like of a progressive liberal democracy and a fascist um nightmare, like"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0016.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0016,"over a maudlin British man reading an essay that he wrote that's two and a half hours long, unbelievably dense and extremely disturbing. But anyway, that's its whole c- Are you good? You getting naked? What are you trying to do some ex- some Patreon content over there? <turn>Pablo wants to breastfeed. [laugh] <turn>[laugh] He's going to attach that little sty to your nipple and get some of that mother's milk on it. Oh, Natasha.","over a maudlin British man reading an essay that he wrote that's two and a half hours long, unbelievably dense and extremely disturbing. But anyway, that's its whole c- Are you good? You getting naked? What are you trying to do some ex- some Patreon content over there? <turn>Pablo wants to breastfeed. [laugh] <turn>[laugh] He's going to attach that little sty to your nipple and get some of that mother's milk on it. Oh, Natasha."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0017.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0017,"Pablo with our our stepchild. Anyway, whatever. Why did I even start talking about politics? Here's what I started thinking about. Basically, the the what it the slide into, you know what, we're just a a regime that kind of sucks for multiple generations and you just kind of deal with it. That's the more common nation, right? It's like Iran and you know, and Turkey and um P","Pablo with our <turn>[laugh] <turn>our stepchild. Anyway, whatever. Why did I even start talking about politics? Here's what I started thinking about. Basically, the the what it the slide into, you know what, we're just a a regime that kind of sucks for multiple generations and you just kind of deal with it. That's the more common nation, right? It's like Iran and you know, and Turkey and um P"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0018.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0018,"And and a lot of nations are just like that. They're like, yeah, the government's completely fucked, but that not like the government was good before. This is the thing that I think young like Gen Z folk miss, is they go, but it was always corrupt. It's like, yeah, but for a long time, we uh we had a theater of it being um stable. And theater is important. <turn>Was it a theater in the sixties? Wasn't that all upheaval? <turn>Oh, yeah. I mean, it's all fake. Obviously, in the sixties, there was literally legal segregation.","And and a lot of nations are just like that. They're like, yeah, the government's completely fucked, but that not like the government was good before. This is the thing that I think young like Gen Z folk miss, is they go, but it was always corrupt. It's like, yeah, but for a long time, we uh we had a theater of it being um stable. And theater is important. <turn>Was it a theater in the sixties? Wasn't that all upheaval? <turn>Oh, yeah. I mean, it's all fake. Obviously, in the sixties, there was literally legal segregation."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0020.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0020,"into chaos because the reality that they've been living with, which is that nothing's really in charge and that everything's essentially chaos becomes extremely clear to the Munchkins, to the Scarecrow people, to the um the brownies, to the witches, both good and bad. How long can you extend a metaphor? Are are you asking? I can keep going. But at any rate, that's what hypernormalization is all about. Is that the job of every government is not actually to be stable because it's not possible to be stable","into chaos because the reality that they've been living with, which is that nothing's really in charge and that everything's essentially chaos becomes extremely clear to the Munchkins, to the Scarecrow people, to the um the brownies, to the witches, both good and bad. How long can you extend a metaphor? Are are you asking? I can keep going. But at any rate, that's what hypernormalization is all about. Is that the job of every government is not actually to be stable because it's not possible to be stable"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0022.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0022,"There's a story about, uh, one of the, one of the first monetary systems was these big stones in one, I think, like a Polynesian tribe. It was these big, like, round stone wheels, and they were transporting one of the big, they're very heavy, stone wheels from one island to the next, and the boat sank, and the fucking stone fell off into the sea. And rather than just go, ""We lost that money,"" the people in that island go, ""Okay, well, we know that the stone, we saw the stone sink. So therefore, the stone at the bottom of the sea, we'll just accept that that is money.","There's a story about, uh, one of the, one of the first monetary systems was these big stones in one, I think, like a Polynesian tribe. It was these big, like, round stone wheels, and they were transporting one of the big, they're very heavy, stone wheels from one island to the next, and the boat sank, and the fucking stone fell off into the sea. And rather than just go, ""We lost that money,"" the people in that island go, ""Okay, well, we know that the stone, we saw the stone sink. So therefore, the stone at the bottom of the sea, we'll just accept that that is money."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0026.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0026,"How will a terrible, um, um, election-denying, um, rule of law goes out the window, let's just do it cowboy style and what whatever gets our team to the finish line goes. How will it affect us? Is it very slowly as the projection of any stability starts to diminish, we will just become a place where we accept that we live in a in a non-functioning government where the government just","How will a terrible, um, um, election-denying, um, rule of law goes out the window, let's just do it cowboy style and what whatever gets our team to the finish line goes. How will it affect us? Is it very slowly as the projection of any stability starts to diminish, we will just become a place where we accept that we live in a in a non-functioning government where the government just"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0031.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0031,"four days. <turn>Actually, it was an Aloft. It was very nice. <turn>Looking at your Twitter feed. No wonder you're depressed. <turn>I'm not Raleigh was a very charming city, a very nice city. I'm not But they need to do some work. I This is not a joke. I googled, uh, things to do in Raleigh and one of the first things that came up <turn>Was the Aloft? No. <turn>No. One of the first things [laugh] one of the first things that came up was a airport shuttle. [laugh] <turn>[laugh] To get the fuck out of Raleigh. <turn>I'm not even joking. <turn>I hear you. Okay, listen. We got someone waiting for us. We're going to call","four days. <turn>Actually, it was an Aloft. It was very nice. <turn>Looking at your Twitter feed. No wonder you're depressed. <turn>I'm not Raleigh was a very charming city, a very nice city.<turn>uhmm <turn>I'm not But they need to do some work. I This is not a joke. I googled, uh, things to do in Raleigh and one of the first things that came up <turn>Was the Aloft? No. <turn>No. One of the first things [laugh] one of the first things that came up was a airport shuttle. [laugh]<turn>[laugh] <turn>To get the fuck out of Raleigh. <turn>Honey <turn>I'm not even joking. <turn>I hear you. Okay, listen. We got someone waiting for us. We're going to call"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0035.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0035,"but I once hooked up with a girl and we had sex and it was a little not great. It wasn't bad, it was just kind of average awkward. It wasn't it was nothing to write home about. Or but as Robert Hawkins a great comedian used to say, ""What what sex is worth writing home about?"" Dear Mom and Dad, I got the best piece of ass last week. Anyway, Robert Hawkins, who I believe is Anyway, whatever. <turn>You have a story about Robert Hawkins? <turn>No, it just reminded me of a bit. Anyway, she wrote me like a week after or a month after and was like, ""Hey, P","but I once hooked up with a girl and we had sex and it was a little not great. It wasn't bad, it was just kind of average awkward. It wasn't it was nothing to write home about. Or but as Robert Hawkins a great comedian used to say, ""What what sex is worth writing home about?"" Dear Mom and Dad, I got the best piece of ass last week. Anyway, Robert Hawkins, who I believe is Anyway, whatever. <turn>You have a story about Robert Hawkins? <turn>No, it just reminded me of a bit. Anyway, she wrote me like a week after or a month after and was like, ""Hey, P"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0040.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0040,"Natasha's got so many strategies for privacy. She perhaps is the most private desiring person I've ever ever known in my life, and we're in the middle of growing some hedges right now. <turn>I just think that the whatever the high because it's better than a fence. Like you can grow like Eugenia or Ficus, and they start out cute and small, and then you have a wall of green and like","Natasha's got so many strategies for privacy. She perhaps is the most private desiring person I've ever ever known in my life, and we're in the middle of growing some hedges right now. <turn>I just think that the whatever the high because it's better than a fence. Like you can grow like Eugenia or Ficus, and they start out cute and small, and then you have a wall of green and like"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0052.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0052,"and no one can come into my yard. <turn>Yeah. What's cool, I know it's a little late. Now he'll see but the cool thing about plants is that they they grow very slowly. And you've got, you guys get now you got like a fifteen year plan. You know, you you you'll plan <turn>No, but it takes two years. That's why ficus is amazing. <turn>No, what I'm saying is uh Wilson, your neighbor is going to not notice. He's just going to think you have these little bushes. <turn>I am short.","and no one can come into my yard. <turn>Yeah. <turn>What's cool, I know it's a little late. Now he'll see but the cool thing about plants is that they they grow very slowly. And you've got, you guys get now you got like a fifteen year plan. You know, you you you'll plan <turn>No, but it takes two years. That's why ficus is amazing. <turn>No, what I'm saying is uh Wilson, your neighbor <turn>[laugh] <turn>is going to not notice. He's just going to think you have these little bushes. <turn>I am short."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0058.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0058,"one o'clock in the morning banging on the We had a guest and she banged and woke the guest up to complain about the the the pool pump. And then the next a week after that, she said she called the the the city because the pump was going, but it wasn't going. The the it was a vacuum cleaner. So finally, I I built this um I spent like twelve hundred dollars to build soundproofing around the thing. And she finally kind of went away.","one o'clock in the morning banging on the We had a guest and she banged and woke the guest up to complain about the the the pool pump. And then the next uh a week after that, she said she called the the the city because the pump was going, but it wasn't going. The the it was a vacuum cleaner. So finally, I I built this um I spent like twelve hundred dollars to build soundproofing around the thing. And she finally kind of went away."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0060.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0060,"why would I ever want to have a conversation about what is reality because to her reality is coming over to my house at three in the morning or when I was vacuuming and she came over and thought that there was like I don't know what <turn>We were vacuuming at three in the morning because we were <turn>No, the vacuuming was in the middle of the day and she thought it was the pool pump. And I was like, I'm vacuuming. <turn>Right. <turn>So, I <turn>She's listening to your vacuum. <turn>I don't know what's happening, but I'm just saying why would I want to engage in any conversation with this person? <turn>Yeah.","why would I ever want to have a conversation about what is reality because to her reality is coming over to my house at three in the morning or when I was vacuuming and she came over and thought that there was like I don't know what <turn>We were vacuuming at three in the morning because we were <turn>No, the vacuuming was in the middle of the day and she thought it was the pool pump.<turn>Right. <turn>And I was like, I'm vacuuming. <turn>So, I <turn>She's listening to your vacuum. <turn>I don't know what's happening, but I'm just saying why would I want to engage in any conversation with this person? <turn>Yeah."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0063.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0063,"he his feelings are hurt. You have to hold the line. You must hold the line. If you capitulate, if you go to him and say, ""Sorry about what I said, sorry, are we cool?"" If you do anything like that, then he it's back to him being like, ""Oh, good, I can do whatever I want."" Oh, yeah. So you realize you fucked up. You fucked up by ever checking me on super inappropriate behavior. Got it. I'm back in control. If you stay the stay the course and say hello and","he his feelings are hurt. You have to hold the line. You must hold the line. If you capitulate, if you go to him and say, ""Sorry about what I said, sorry, are we cool?"" If you do anything like that, then he it's back to him being like, ""Oh, good, I can do whatever I want."" Oh, yeah. So you realize you fucked up. You fucked up by ever checking me on super inappropriate behavior. Got it. I'm back in control. If you stay the stay the course and say hello and"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0067.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0067,"have a cul-de-sac gathering and invite him. Hey, we'd love to see you. Oh, you you couldn't make it. Oh. <turn>still act like a robot. <turn>I mean, yeah, I'm just saying if you want if you want peace and softness in that relationship, which it sounds like sort of you do, you there isn't one option, which is to go to go to him and say sorry. There's another option, which is just act like everything's normal and invite him over for some thing. He will come because obviously he needs the approval of everybody and he wants to be the mayor of your cul-de-sac.","have a cul-de-sac gathering and invite him. Hey, we'd love to see you. Oh, you you couldn't make it. Oh. <turn>still act like a robot. <turn>I mean, yeah, I'm just saying if you want if you want peace and softness in that relationship, which it sounds like sort of you do, you there isn't one option, which is to go to go to him and say sorry. There's another option, which is just act like everything's normal and invite him over for some thing. He will come because obviously he needs the approval of everybody and he wants to be the mayor of your cul-de-sac."
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0084.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0084,"But your friend has revealed to you that either she has become radicalized against, I mean, listen, I would hope that you would, uh, not be able to continue this friendship if you weren't Jewish, right? But, but it's you. I mean, it's like, what, I mean, try to imagine I call you and I'm a black guy and I go, ""Hey, I've got this best friend of twenty-three years and <turn>Of course.","But your friend has revealed to you that either she has become radicalized against, I mean, listen, I would hope that you would, uh, not be able to continue this friendship if you weren't Jewish, right? <turn>Of course <turn>But, but it's you. I mean, it's like, what, I mean, try to imagine I call you and I'm a black guy and I go, ""Hey, I've got this best friend of twenty-three years and <turn>[laugh]"
https://audio-annotation-data.s3.us-east-2.amazonaws.com/The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0086.wav,The_Endless_Honeymoon_Podcast_“LOL_Surprise_Girl”_0086,"that I'm like willing to kind of accept things that are not really acceptable just based on the amount of <turn>I'm the same way. Yeah. Of hours you've put in. <turn>of hours in and years in and you know, oh we were this together. We've been sober together. Is she, are you sober as well? <turn>Yeah. <turn>Yeah. Oh, we're sober in the trenches together and oh, we went through all the It's just like, but this is a toxic relationship that is no longer serving anything like I I I think","that I'm like willing to kind of accept things that are not really acceptable just based on the amount of <turn>I'm the same way. Yeah. <turn>Of hours you've put in. <turn>of hours in and years in and you know, oh we were this together. We've been sober together. Is she, are you sober as well? <turn>Yeah. <turn>Yeah. Oh, we're sober in the trenches together and oh, we went through all the It's just like, but this is a toxic relationship that is no longer serving anything like I I I think"
